zone,surplus_event_id,start_time,end_time,duration_h,min_price,mean_price,max_net_surplus_mw,mean_renewable_share,mean_wind100,mean_load_mw,mean_net_export_mw,max_export_utilisation,mean_bal_price_down,mean_abs_imbalance,mean_severity
NO3,95,2023-10-18 22:00:00,2023-10-19 00:00:00,3,2.46,3.1366666666666667,657.8899999999999,0.9820427135271729,5.921730492501523,3194.7066666666665,465.6133333333334,0.0,1.6500000000000001,36.60162533333334,4.6926324361579494
NO3,19,2023-05-29 07:00:00,2023-05-29 15:00:00,9,1.54,2.318888888888889,631.52,1.0,8.01826043106104,2681.3344444444447,499.6000000000001,0.0,0.7544444444444446,204.17742044444446,4.681553095905388
DK1,4,2023-01-08 02:00:00,2023-01-08 02:00:00,1,4.16,4.16,1973.9299999999998,0.9016550261064991,9.790168088456063,2155.31,1453.77,0.9354752475247524,4.16,0.0,4.679837072252857
SE2,285,2024-12-14 22:00:00,2024-12-14 22:00:00,1,4.19,4.19,6448.220000000001,0.9973913210196974,9.415325964930458,1897.0,6522.389999999999,0.0,3.56,0.0,4.647377792266527
NO3,97,2023-10-19 18:00:00,2023-10-20 01:00:00,8,2.91,4.0725,517.1700000000001,0.9836475627874163,7.4543957919701525,3581.64625,524.51375,0.0,4.0725,243.9899025,4.637355797992952
DK2,1,2023-01-01 00:00:00,2023-01-01 09:00:00,10,0.05,1.186,483.1399999999999,0.8125913039169909,13.17552872403392,1197.7379999999998,287.10900000000004,2.0425,-4.351999999999999,0.0,4.632026818198226
NO3,67,2023-09-28 03:00:00,2023-09-28 03:00:00,1,3.81,3.81,531.79,0.9910691627122769,3.9427310186923,2344.76,382.21999999999997,0.0,-1.0,110.175228,4.622990197885591
NO3,74,2023-10-01 18:00:00,2023-10-02 01:00:00,8,2.78,3.66625,699.77,0.9788855705910284,3.317692176685976,2652.03625,443.3225,0.0,3.66625,80.31223499999999,4.621954026474412
NO3,167,2024-11-16 06:00:00,2024-11-16 09:00:00,4,3.69,4.1875,551.4899999999998,0.9817316478715724,10.314077157751257,3465.61,494.625,0.0,1.6549999999999998,88.57040375,4.595576806240336
DK2,105,2024-05-22 10:00:00,2024-05-22 14:00:00,5,3.03,3.786,331.6700000000001,0.9466370096361454,12.513206705040734,1667.034,340.846,0.0,3.786,0.0,4.590420902901643
DK1,146,2024-07-05 08:00:00,2024-07-05 14:00:00,7,-0.77,0.5571428571428572,2577.250000000001,0.929913625161421,11.386723237734211,3083.117142857143,1432.23,1.2302394454946441,-7.338571428571428,0.0,4.535612524812673
SE3,176,2024-07-18 00:00:00,2024-07-18 02:00:00,3,4.61,4.79,1759.4800000000005,0.35414171489055174,7.8955242798130305,5934.333333333333,1953.406666666667,0.0,4.79,0.0,4.5304144053142466
DK2,10,2023-04-19 12:00:00,2023-04-19 13:00:00,2,0.09,1.4,347.7499999999998,0.8410674799786653,8.071820487358753,1551.555,287.645,2.5585800604229605,1.4,0.0,4.528557805228839
DK2,8,2023-03-25 01:00:00,2023-03-25 05:00:00,5,1.78,2.868,382.80999999999995,0.7803055683408108,9.899572887022245,1279.212,299.2339999999999,4.20858006042296,2.868,0.0,4.524907134128844
DK2,28,2023-07-04 11:00:00,2023-07-04 11:00:00,1,1.55,1.55,304.72,0.8583453429410194,11.698923282770346,1568.78,295.0600000000002,2.443931623931624,1.55,0.0,4.519685502109678
SE3,50,2023-08-06 18:00:00,2023-08-07 05:00:00,12,-2.54,0.04416666666666669,2325.75,0.4346852287852551,9.382677260356678,6405.75,1831.4675,0.0,-2.0716666666666668,0.0,4.5139907106316075
SE2,282,2024-12-08 14:00:00,2024-12-08 15:00:00,2,4.13,4.55,6417.469999999999,0.998403161808545,7.718811155899919,1900.5,6424.17,0.0,2.235,0.0,4.492340333636175
FI,184,2024-07-13 21:00:00,2024-07-14 03:00:00,7,-0.5,-0.13857142857142857,2026.3300000000008,0.4190756783776191,6.964250931804599,6894.0142857142855,1764.5714285714287,0.0,-41.84428571428572,332.2724945714286,4.4766006641089415
SE3,180,2024-07-28 07:00:00,2024-07-28 16:00:00,10,-48.69,-13.306999999999999,2121.5199999999986,0.3187164446539611,4.654893390322141,6993.1,1579.0449999999998,0.0,-20.857,0.0,4.471776402283249
SE3,116,2024-04-11 20:00:00,2024-04-12 01:00:00,6,3.46,4.335,1847.0999999999985,0.43515386181777566,10.427193981722281,8508.333333333334,1874.14,0.0,4.335,0.0,4.455152783969922
NO1,19,2023-08-07 02:00:00,2023-08-07 03:00:00,2,0.1,1.825,870.8799999999999,0.9942201862339279,7.56991461673015,2094.365,889.805,0.0,-8.525,109.84136799999999,4.299149232062026
SE2,276,2024-12-03 05:00:00,2024-12-03 14:00:00,10,4.49,4.799,6616.870000000001,0.9964531243662662,7.486454600148309,1998.8,6269.245,0.0,4.174,0.0,4.2111545481938135
NO1,24,2023-08-17 01:00:00,2023-08-17 01:00:00,1,5.0,5.0,767.0099999999998,0.99456736567913,3.752365068322192,2192.88,828.3,0.0,-4.0,139.705496,4.143344513292596
NO1,18,2023-08-03 00:00:00,2023-08-03 00:00:00,1,3.55,3.55,735.8600000000001,0.990863215304817,1.420280971690311,2109.78,786.1399999999999,0.0,3.55,86.590988,4.132409257150639
NO1,123,2024-09-07 23:00:00,2024-09-08 05:00:00,7,3.75,4.088571428571429,739.3499999999999,0.9938948419229691,2.630068675755109,2132.1457142857143,736.4671428571427,0.0,-2.357142857142857,27.70977,4.0775779822065354
NO1,12,2023-07-16 00:00:00,2023-07-16 15:00:00,16,-61.84,-16.951875,1319.08,0.9899388244171892,5.864887214365327,2157.3275,255.60999999999999,0.0,-19.626875000000002,126.841122,4.0629990668686276
NO1,22,2023-08-12 03:00:00,2023-08-12 03:00:00,1,5.0,5.0,648.7199999999998,0.9935549599421589,1.462546380507319,2089.82,761.05,0.0,2.0,138.315836,4.0268759821390265
NO1,25,2023-08-26 06:00:00,2023-08-26 06:00:00,1,5.0,5.0,663.6699999999996,0.9950322004903366,5.247130765022561,2440.32,663.49,0.0,5.0,70.572808,3.9750699442569397
SE2,267,2024-11-21 05:00:00,2024-11-21 06:00:00,2,3.85,4.385,6201.52,0.9940566094355807,13.649913357916944,1945.5,6045.415000000001,0.0,2.425,0.0,3.9357945420890794
SE2,273,2024-11-29 00:00:00,2024-11-29 03:00:00,4,4.47,4.7525,6138.42,0.9933926841885188,5.58315760516124,1324.0,6013.085,0.0,-0.25,0.0,3.918537075507058
SE2,236,2024-09-12 08:00:00,2024-09-12 14:00:00,7,4.92,4.9557142857142855,6325.01,0.9980158354091376,8.521605843827734,1684.5714285714287,5936.674285714286,0.0,-2.7142857142857144,0.0,3.903678830645386
SE2,261,2024-11-04 16:00:00,2024-11-06 04:00:00,37,1.61,3.347027027027027,7338.52,0.997399035822083,8.274888008227215,1739.837837837838,5954.505675675676,0.0,-2.424054054054054,0.0,3.8780457643028905
SE2,271,2024-11-24 09:00:00,2024-11-24 13:00:00,5,4.46,4.708,7393.240000000001,0.9951172490816136,5.575346955032531,1256.8,5922.354,0.0,0.14800000000000005,0.0,3.877347776002067
NO1,26,2023-09-01 01:00:00,2023-09-01 03:00:00,3,1.14,2.4499999999999997,513.5100000000002,0.9946724691635641,3.973319969140251,2387.3766666666666,575.0666666666665,0.0,2.4499999999999997,126.69369866666666,3.8731241724080285
NO1,17,2023-07-30 08:00:00,2023-07-30 14:00:00,7,-0.75,0.2628571428571429,623.8399999999997,0.9910049750561866,2.1047218900661027,2349.7571428571428,464.4385714285714,0.0,0.05999999999999999,109.37839085714286,3.8241628822070983
SE2,140,2024-05-09 18:00:00,2024-05-10 15:00:00,22,-0.59,1.6836363636363636,7522.110000000001,0.9800906722935193,9.070384704757496,1438.8181818181818,5875.196363636364,0.0,-1.1554545454545455,0.0,3.799214416507441
NO1,125,2024-09-08 19:00:00,2024-09-09 04:00:00,10,0.04,0.9550000000000001,634.1300000000006,0.9947709041048046,2.56761450584668,2427.826,455.506,0.0,-7.7,36.7276867,3.7972787753126176
NO1,28,2023-09-05 21:00:00,2023-09-06 04:00:00,8,-0.16,0.77,636.2499999999995,0.9915459448496853,4.076649671866678,2318.45375,443.7425,0.0,0.77,44.783975999999996,3.7938142960745793
